Faceplate / mechanical BOM,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
1,3,"ADH1, ADH2, ADH3",AdhesiveTape_8x8mm,Mechanical:AdhesiveTape,,
2,1,ADH4,AdhesiveTape_26x26mm,Mechanical:AdhesiveTape,,
3,2,"D1, D2",LED,Device:LED,SynthDIY:LED_156120VS75300_Würth_ReverseMount,https://www.we-online.com/katalog/datasheet/156120VS75300.pdf
4,1,J1,Conn_01x03,Connector_Generic:Conn_01x03,SynthDIY:Kyocera_ConnectorPushInWire_009296003553906,~
5,4,"SC1, SC2, SC3, SC4",Screw_M3,Mechanical:Screw,,
6,8,"SC5, SC6, SC7, SC8, SC9, SC10, SC11, SC12",Screw_4-40,Mechanical:Screw,,
7,4,"SO1, SO2, SO3, SO4","Standoff_AluminumHex_L1/2""_1/4-40",Mechanical:Standoff,,
8,4,"WR1, WR2, WR3, WR4",Washer_M3,Mechanical:Washer,,
9,8,"WR5, WR6, WR7, WR8, WR9, WR10, WR11, WR12",Washer_4-40,Mechanical:Washer,,
,,,,,,
,,,,,,
PCB BOM,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
1,1,C1,2.2u 16V,Device:C,Capacitor_SMD:C_0805_2012Metric,~
2,1,C2,100p,Device:C,Capacitor_SMD:C_0805_2012Metric,~
3,2,"C3, C18",10n,Device:C,Capacitor_SMD:C_0805_2012Metric,~
4,6,"C4, C5, C6, C10, C11, C16",10u,Device:C,Capacitor_SMD:C_1206_3216Metric,~
5,6,"C7, C8, C12, C13, C14, C15",220u 35V,Device:C_Polarized,Capacitor_SMD:CP_Elec_10x10,~
6,2,"C9, C17",2.2u 100V,Device:C,Capacitor_SMD:C_1206_3216Metric,~
7,6,"C19, C20, C21, C22, C23, C24",100n,Device:C,Capacitor_SMD:C_0805_2012Metric,~
8,3,"D1, D2, D3",PMEG6030EP,Diode:PMEG6030EP,Diode_SMD:D_SOD-128,https://assets.nexperia.com/documents/data-sheet/PMEG6030EP.pdf
9,1,D4,MBR0530,Diode:MBR0530,Diode_SMD:D_SOD-123,http://www.mccsemi.com/up_pdf/MBR0520~MBR0580(SOD123).pdf
10,2,"D5, D6",BZX384C8V2-E3-18,Diode:BZX384-xxx,Diode_SMD:D_SOD-323,https://www.vishay.com/docs/85764/bzx384.pdf
11,1,F1,Fuse,Device:Fuse,Fuse:0680L-BelFuse,~
12,3,"HS1, HS2, HS3",Heatsink_ASSMAN_8.5x8.5x8.0mm,Mechanical:Heatsink_Pad,Heatsink:Heatsink_ASSMAN_8.5x8.5x8.0mm,~
13,1,HS4,Heatsink_ASSMAN_27.0x27.0x6.0mm,Mechanical:Heatsink_Pad,Heatsink:Heatsink_ASSMAN_27.0x27.0x6.0mm,~
14,1,J1,Screw_Terminal_01x02,Connector:Screw_Terminal_01x02,TerminalBlock_Wuerth:WürthElektronik_TermBlock_1x02_WR-TBLSeries1377_P5.00mm,~
15,3,"J2, J3, J4",Conn_02x05_Odd_Even,Connector_Generic:Conn_02x05_Odd_Even,Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical,~
16,1,J5,RFShield_TwoPieces,Device:RFShield_TwoPieces,RF_Shielding:MS638-10,~
17,1,JP1,SolderJumper_2_Bridged,Jumper:SolderJumper_2_Bridged,Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,~
18,3,"L1, L2, L3",10u,Device:L,Inductor_SMD:BWVS00606045100ML1-YAGEO,~
19,1,Q1,BSC900N20NS3GATMA1,Device:BSC900N20NS3GATMA1,Package_TO_SOT_SMD:TDSON-8-1,https://www.infineon.com/dgdl/BSC900N20NS3+Rev2.1.pdf?folderId=db3a304325305e6d012596c6ca7b290a&fileId=db3a30432ad629a6012b144f6b0619db
20,1,Q2,Si7119DN,Device:Si7119DN,Package_SO:Vishay_PowerPAK_1212-8_Single,https://www.vishay.com/docs/74251/si7119dn.pdf
21,2,"R1, R3",33k,Device:R,Resistor_SMD:R_0805_2012Metric,~
22,1,R2,10k,Device:R,Resistor_SMD:R_0805_2012Metric,~
23,1,R4,210k,Device:R,Resistor_SMD:R_0805_2012Metric,~
24,1,R5,105k,Device:R,Resistor_SMD:R_0805_2012Metric,~
25,1,R6,7.5k,Device:R,Resistor_SMD:R_0805_2012Metric,~
26,1,R7,1k,Device:R,Resistor_SMD:R_0805_2012Metric,~
27,2,"R8, R13",33,Device:R,Resistor_SMD:R_0805_2012Metric,~
28,1,R9,1,Device:R,Resistor_SMD:R_0805_2012Metric,~
29,1,R12,10m,Device:R,Resistor_SMD:R_0805_2012Metric,~
30,2,"R14, R15",240,Device:R,Resistor_SMD:R_0805_2012Metric,~
31,1,RV1,1k,Device:R_Potentiometer_Trim,Potentiometer_THT:Potentiometer_Bourns_3296X_Horizontal,~
32,1,T1,Transformer_749196510_WürthElektronik,Device:Transformer_749196510_WürthElektronik,Transformer_SMD:Transformer_749196510_WürthElektronik,https://www.we-online.com/katalog/datasheet/749196510.pdf
33,1,U1,LT3758AEMSE-TRPBF,LT3758:LT3758AEMSE-TRPBF,Package_SO:MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm,https://www.analog.com/media/en/technical-documentation/data-sheets/LT3758-3758A.pdf
